N,T,tau,outer_trials,bootstrap_replicates,bias,mae,rmse,empirical_sd,bootstrap_se_ratio,bootstrap_normal_coverage,coverage_mcse,coverage_wilson_95_low,coverage_wilson_95_high,analytic_ess_fraction_mean,analytic_ess_fraction_mcse,bootstrap_ess_fraction_median
40,12,0.1,30,100,0.0247645656041154,0.030811183366405988,0.0416321438352433,0.0340377836319741,1.18738123394319,0.8666666666666667,0.0620632890834175,0.7031831605558306,0.9469043057578188,0.0898868220809132,0.010754787581107497,0.07229291982520014
40,12,0.25,30,100,0.0192943192723398,0.027895730300425994,0.0361646269319675,0.031110639353411,1.085235916133791,0.8333333333333334,0.0680413817439771,0.6643529481431982,0.9266356575964833,0.0898868220809132,0.010754787581107497,0.07229291982520014
40,12,0.5,30,100,0.009084719621828,0.02547240822883551,0.0332902991860619,0.032574242351635,0.9830363051072054,0.8666666666666667,0.0620632890834175,0.7031831605558306,0.9469043057578188,0.0898868220809132,0.010754787581107497,0.07229291982520014
40,20,0.1,30,100,0.0143611594793566,0.029701043444308753,0.0466404477562528,0.0451330041938755,1.1527369858512415,0.9666666666666668,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.0815299215506595,0.007558294318072112,0.06340345116165935
40,20,0.25,30,100,0.0085756693378259,0.028185141691705228,0.0401901457709641,0.039935798207221,1.1135672076759895,0.9666666666666668,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.0815299215506595,0.007558294318072112,0.06340345116165935
40,20,0.5,30,100,3.380124601252618e-05,0.030177908340674808,0.0390156279955008,0.0396825952297044,1.060571131594915,0.9,0.0547722557505166,0.7437855868473339,0.965400740040284,0.0815299215506595,0.007558294318072112,0.06340345116165935
40,40,0.1,30,100,0.0077655350058849,0.034391053513528363,0.0530234743301894,0.0533484184826824,1.3054971008972538,0.9666666666666668,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.05904206073326565,0.005281479390032368,0.05462833100236185
40,40,0.25,30,100,0.0042335115218622,0.030397650999043343,0.0461284012806905,0.0467189703576905,1.1745022006214652,0.9666666666666668,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.05904206073326565,0.005281479390032368,0.05462833100236185
40,40,0.5,30,100,0.005120807849686,0.03336922818987737,0.0469572535192255,0.0474751584955181,1.1063800550532752,0.9666666666666668,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.05904206073326565,0.005281479390032368,0.05462833100236185
80,20,0.1,30,100,0.0200242523879374,0.035315626200354826,0.045293415065196,0.0413211488545637,0.899844232712041,0.9,0.0547722557505166,0.7437855868473339,0.965400740040284,0.0580226629837293,0.006666913802820152,0.0470927539820774
80,20,0.25,30,100,0.010475218860907,0.025876649410818266,0.037216592406516,0.0363224715307989,0.8456681149629927,0.9,0.0547722557505166,0.7437855868473339,0.965400740040284,0.0580226629837293,0.006666913802820152,0.0470927539820774
80,20,0.5,30,100,0.0031284518364778,0.025650203491462614,0.0334147017170809,0.0338366524381831,0.879638046863345,0.9,0.0547722557505166,0.7437855868473339,0.965400740040284,0.0580226629837293,0.006666913802820152,0.0470927539820774
160,20,0.1,30,100,0.0063327603072315,0.022050343709168838,0.032183965077661,0.0320942108058918,0.8222259017529533,0.9666666666666668,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.0316739345354257,0.004346725335747125,0.0283888899683525
160,20,0.25,30,100,0.0046533572737449,0.013672853423000553,0.0193987767351236,0.0191543315953389,1.1072705977603416,1.0,0.0,0.8864829086095221,1.0,0.0316739345354257,0.004346725335747125,0.0283888899683525
160,20,0.5,30,100,-0.0024889698396837,0.01851420583731157,0.0226607584934292,0.0229087019598261,0.8615466930988344,0.9333333333333332,0.0455420034042648,0.7867618227892791,0.9815233646723066,0.0316739345354257,0.004346725335747125,0.0283888899683525
