N,T,tau,method,outcome_backend,interval_method,truth,mean_estimate,bias,rmse,empirical_sd,empirical_sd_mc_se_approx,mean_reported_se,se_ratio,coverage,coverage_successes,coverage_mc_se,coverage_wilson_95_low,coverage_wilson_95_high,mean_ci_width,outer_trials,B
40,20,0.1,frontdoor_qope,gbdt,analytic,-0.0389825520187385,-0.0246213925393819,0.0143611594793566,0.0466404477562528,0.0451330041938755,0.0059262537849406,0.0243190488006198,0.5388307123574976,0.6,18,0.0894427190999915,0.4232005249827383,0.7540960567391659,0.0953306712984298,30,100
40,20,0.1,frontdoor_qope,gbdt,bootstrap_normal,-0.0389825520187385,-0.0246213925393819,0.0143611594793566,0.0466404477562528,0.0451330041938755,0.0059262537849406,0.0520264832168595,1.1527369858512415,0.9666666666666668,29,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.2039438142100892,30,100
40,20,0.1,frontdoor_qope,gbdt,bootstrap_percentile,-0.0389825520187385,-0.0246213925393819,0.0143611594793566,0.0466404477562528,0.0451330041938755,0.0059262537849406,0.0520264832168595,1.1527369858512415,1.0,30,0.0,0.8864829086095221,1.0,0.1915327805270825,30,100
40,20,0.25,frontdoor_qope,gbdt,analytic,-0.0208181089806157,-0.0122424396427897,0.0085756693378259,0.0401901457709641,0.039935798207221,0.0052438272059958,0.032101642360551,0.8038312441879908,0.7333333333333333,22,0.0807373427759331,0.5555169795568831,0.8581750444608938,0.12583843805336,30,100
40,20,0.25,frontdoor_qope,gbdt,bootstrap_normal,-0.0208181089806157,-0.0122424396427897,0.0085756693378259,0.0401901457709641,0.039935798207221,0.0052438272059958,0.0444711952959269,1.1135672076759895,0.9666666666666668,29,0.0327730693416725,0.8332924860304112,0.9940915620051424,0.1743270855600336,30,100
40,20,0.25,frontdoor_qope,gbdt,bootstrap_percentile,-0.0208181089806157,-0.0122424396427897,0.0085756693378259,0.0401901457709641,0.039935798207221,0.0052438272059958,0.0444711952959269,1.1135672076759895,1.0,30,0.0,0.8864829086095221,1.0,0.1501616129207576,30,100
40,20,0.5,frontdoor_qope,gbdt,analytic,0.0008497054001235,0.000883506646136,3.380124601252618e-05,0.0390156279955008,0.0396825952297044,0.0052105800262287,0.0409684276686227,1.0324029321034895,0.7333333333333333,22,0.0807373427759331,0.5555169795568831,0.8581750444608938,0.1605962364610013,30,100
40,20,0.5,frontdoor_qope,gbdt,bootstrap_normal,0.0008497054001235,0.000883506646136,3.380124601252618e-05,0.0390156279955008,0.0396825952297044,0.0052105800262287,0.0420862149273905,1.060571131594915,0.9,27,0.0547722557505166,0.7437855868473339,0.965400740040284,0.1649779625153712,30,100
40,20,0.5,frontdoor_qope,gbdt,bootstrap_percentile,0.0008497054001235,0.000883506646136,3.380124601252618e-05,0.0390156279955008,0.0396825952297044,0.0052105800262287,0.0420862149273905,1.060571131594915,1.0,30,0.0,0.8864829086095221,1.0,0.1477089686302379,30,100
